Label,category,Vocabulary ID,Parent,GrandParent,GreatGrandParent,GreatGreatGrandParent,GreatGreatGreatGrandParent,n
"Abortion, Incomplete",C,C13.703.039.093,"Abortion, Spontaneous",Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,5
"Aging, Premature",C,C23.888.069,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,5
Ancylostomiasis,C,C01.610.335.508.700.775.455.154,Hookworm Infections,Strongylida Infections,Secernentea Infections,Nematode Infections,Helminthiasis,5
Aphakia,C,C11.510.103,Lens Diseases,Eye Diseases,NULL,NULL,NULL,5
Arenaviridae Infections,C,C01.925.782.082,RNA Virus Infections,Virus Diseases,Infections,NULL,NULL,5
Asphyxia,C,C23.550.260.095,Death,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Asphyxia,C,C26.103,Wounds and Injuries,NULL,NULL,NULL,NULL,5
Bile Duct Neoplasms,C,C06.130.120.120,Bile Duct Diseases,Biliary Tract Diseases,Digestive System Diseases,NULL,NULL,5
Bile Duct Neoplasms,C,C06.130.320.120,Biliary Tract Neoplasms,Biliary Tract Diseases,Digestive System Diseases,NULL,NULL,5
Bile Duct Neoplasms,C,C06.301.120.250,Biliary Tract Neoplasms,Digestive System Neoplasms,Digestive System Diseases,NULL,NULL,5
Bile Duct Neoplasms,C,C04.588.274.120.250,Biliary Tract Neoplasms,Digestive System Neoplasms,Neoplasms by Site,Neoplasms,NULL,5
Birth Injuries,C,C16.614.131,"Infant, Newborn, Diseases","Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,NULL,NULL,5
Birth Injuries,C,C26.141,Wounds and Injuries,NULL,NULL,NULL,NULL,5
Carbon Monoxide Poisoning,C,C25.723.455.245,Gas Poisoning,Poisoning,Chemically-Induced Disorders,NULL,NULL,5
"Carcinoma, Ovarian Epithelial",C,C19.391.630.705.350,Ovarian Neoplasms,Ovarian Diseases,Gonadal Disorders,Endocrine System Diseases,NULL,5
"Carcinoma, Ovarian Epithelial",C,C19.344.410.199,Ovarian Neoplasms,Endocrine Gland Neoplasms,Endocrine System Diseases,NULL,NULL,5
"Carcinoma, Ovarian Epithelial",C,C13.351.937.418.685.350,Ovarian Neoplasms,"Genital Neoplasms, Female",Urogenital Neoplasms,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,5
"Carcinoma, Ovarian Epithelial",C,C13.351.500.056.630.705.350,Ovarian Neoplasms,Ovarian Diseases,Adnexal Diseases,"Genital Diseases, Female",Female Urogenital Diseases,5
"Carcinoma, Ovarian Epithelial",C,C04.588.322.455.199,Ovarian Neoplasms,Endocrine Gland Neoplasms,Neoplasms by Site,Neoplasms,NULL,5
"Carcinoma, Ovarian Epithelial",C,C04.557.470.200.295,Carcinoma,"Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,Neoplasms,NULL,5
Cardiomegaly,C,C14.280.195,Heart Diseases,Cardiovascular Diseases,NULL,NULL,NULL,5
Cardiomegaly,C,C23.300.775.250,Hypertrophy,"Pathological Conditions, Anatomical","Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Central Nervous System Infections,C,C01.207,Infections,NULL,NULL,NULL,NULL,5
Central Nervous System Infections,C,C10.228.228,Central Nervous System Diseases,Nervous System Diseases,NULL,NULL,NULL,5
Colitis,C,C06.405.469.158.188,Colonic Diseases,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,5
Colitis,C,C06.405.205.265,Gastroenteritis,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,5
Coronary Occlusion,C,C14.280.647.250.272,Coronary Disease,Myocardial Ischemia,Heart Diseases,Cardiovascular Diseases,NULL,5
Coronary Occlusion,C,C14.907.585.250.272,Coronary Disease,Myocardial Ischemia,Vascular Diseases,Cardiovascular Diseases,NULL,5
Cytomegalovirus Retinitis,C,C11.294.800.270,"Eye Infections, Viral",Eye Infections,Eye Diseases,NULL,NULL,5
Cytomegalovirus Retinitis,C,C11.768.773.360,Retinitis,Retinal Diseases,Eye Diseases,NULL,NULL,5
Cytomegalovirus Retinitis,C,C01.375.725.270,"Eye Infections, Viral",Eye Infections,Infections,NULL,NULL,5
Cytomegalovirus Retinitis,C,C01.925.325.270,"Eye Infections, Viral",Virus Diseases,Infections,NULL,NULL,5
Cytomegalovirus Retinitis,C,C01.925.256.466.245.150,Cytomegalovirus Infections,Herpesviridae Infections,DNA Virus Infections,Virus Diseases,Infections,5
Deglutition Disorders,C,C06.405.117.119,Esophageal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,5
Deglutition Disorders,C,C09.775.174,Pharyngeal Diseases,Otorhinolaryngologic Diseases,NULL,NULL,NULL,5
"Dementia, Vascular",C,C10.228.140.300.400,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,5
"Dementia, Vascular",C,C10.228.140.300.510.800.500,Intracranial Arteriosclerosis,Intracranial Arterial Diseases,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,5
"Dementia, Vascular",C,C10.228.140.695.500,Leukoencephalopathies,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,5
"Dementia, Vascular",C,C10.228.140.380.230,Dementia,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,5
"Dementia, Vascular",C,C14.907.253.560.350.500,Intracranial Arteriosclerosis,Intracranial Arterial Diseases,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,5
"Dementia, Vascular",C,C14.907.137.126.372.500,Intracranial Arteriosclerosis,Arteriosclerosis,Arterial Occlusive Diseases,Vascular Diseases,Cardiovascular Diseases,5
Dermatomyositis,C,C10.668.491.562.575.500,Polymyositis,Myositis,Muscular Diseases,Neuromuscular Diseases,Nervous System Diseases,5
Dermatomyositis,C,C17.800.185,Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,NULL,5
Dermatomyositis,C,C17.300.250,Connective Tissue Diseases,Skin and Connective Tissue Diseases,NULL,NULL,NULL,5
Dermatomyositis,C,C05.651.594.819.500,Polymyositis,Myositis,Muscular Diseases,Musculoskeletal Diseases,NULL,5
"Diabetes Mellitus, Experimental",C,C19.246.240,Diabetes Mellitus,Endocrine System Diseases,NULL,NULL,NULL,5
"Diabetes Mellitus, Experimental",C,C18.452.394.750.074,Diabetes Mellitus,Glucose Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,5
Dyslexia,C,C10.597.606.150.500.300,Language Disorders,Communication Disorders,Neurobehavioral Manifestations,Neurologic Manifestations,Nervous System Diseases,5
Dyslexia,C,C10.597.606.150.550.200,Learning Disabilities,Communication Disorders,Neurobehavioral Manifestations,Neurologic Manifestations,Nervous System Diseases,5
Dyslexia,C,C23.888.592.604.150.500.300,Language Disorders,Communication Disorders,Neurobehavioral Manifestations,Neurologic Manifestations,Signs and Symptoms,5
Dyslexia,C,C23.888.592.604.150.550.200,Learning Disabilities,Communication Disorders,Neurobehavioral Manifestations,Neurologic Manifestations,Signs and Symptoms,5
Endocarditis,C,C14.280.282,Heart Diseases,Cardiovascular Diseases,NULL,NULL,NULL,5
"Endocarditis, Bacterial",C,C14.280.282.407,Endocarditis,Heart Diseases,Cardiovascular Diseases,NULL,NULL,5
"Endocarditis, Bacterial",C,C14.260.249,Cardiovascular Infections,Cardiovascular Diseases,NULL,NULL,NULL,5
"Endocarditis, Bacterial",C,C01.190.249,Cardiovascular Infections,Infections,NULL,NULL,NULL,5
"Endocarditis, Bacterial",C,C01.150.252.245,Bacterial Infections,Bacterial Infections and Mycoses,Infections,NULL,NULL,5
Endocrine System Diseases,C,C19,NULL,NULL,NULL,NULL,NULL,5
Entropion,C,C11.338.443,Eyelid Diseases,Eye Diseases,NULL,NULL,NULL,5
"Epilepsies, Partial",C,C10.228.140.490.360,Epilepsy,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,5
Esophageal and Gastric Varices,C,C06.405.117.240,Esophageal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,5
Esophageal and Gastric Varices,C,C06.552.494.414,"Hypertension, Portal",Liver Diseases,Digestive System Diseases,NULL,NULL,5
Fabry Disease,C,C10.228.140.300.275.374,Cerebral Small Vessel Diseases,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,5
Fabry Disease,C,C10.228.140.163.100.435.825.200,Sphingolipidoses,"Lysosomal Storage Diseases, Nervous System","Brain Diseases, Metabolic, Inborn","Brain Diseases, Metabolic",Brain Diseases,5
Fabry Disease,C,C14.907.253.329.374,Cerebral Small Vessel Diseases,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,NULL,5
Fabry Disease,C,C18.452.132.100.435.825.200,Sphingolipidoses,"Lysosomal Storage Diseases, Nervous System","Brain Diseases, Metabolic, Inborn","Brain Diseases, Metabolic",Metabolic Diseases,5
Fabry Disease,C,C18.452.584.687.803.300,Sphingolipidoses,Lipidoses,Lipid Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,5
Fabry Disease,C,C18.452.648.398.641.803.300,Sphingolipidoses,Lipidoses,"Lipid Metabolism, Inborn Errors","Metabolism, Inborn Errors",Metabolic Diseases,5
Fabry Disease,C,C18.452.648.189.435.825.200,Sphingolipidoses,"Lysosomal Storage Diseases, Nervous System","Brain Diseases, Metabolic, Inborn","Metabolism, Inborn Errors",Metabolic Diseases,5
Fabry Disease,C,C18.452.648.595.554.825.200,Sphingolipidoses,"Lysosomal Storage Diseases, Nervous System",Lysosomal Storage Diseases,"Metabolism, Inborn Errors",Metabolic Diseases,5
Fabry Disease,C,C16.320.565.398.641.803.300,Sphingolipidoses,Lipidoses,"Lipid Metabolism, Inborn Errors","Metabolism, Inborn Errors","Genetic Diseases, Inborn",5
Fabry Disease,C,C16.320.565.595.554.825.200,Sphingolipidoses,"Lysosomal Storage Diseases, Nervous System",Lysosomal Storage Diseases,"Metabolism, Inborn Errors","Genetic Diseases, Inborn",5
Fabry Disease,C,C16.320.565.189.435.825.200,Sphingolipidoses,"Lysosomal Storage Diseases, Nervous System","Brain Diseases, Metabolic, Inborn","Metabolism, Inborn Errors","Genetic Diseases, Inborn",5
Fabry Disease,C,C16.320.322.124,"Genetic Diseases, X-Linked","Genetic Diseases, Inborn","Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,NULL,5
Familial Hypophosphatemic Rickets,C,C16.320.565.618.544.500,"Hypophosphatemia, Familial","Metal Metabolism, Inborn Errors","Metabolism, Inborn Errors","Genetic Diseases, Inborn","Congenital, Hereditary, and Neonatal Diseases and Abnormalities",5
Familial Hypophosphatemic Rickets,C,C16.320.831.647.500,"Hypophosphatemia, Familial","Renal Tubular Transport, Inborn Errors","Genetic Diseases, Inborn","Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,5
Familial Hypophosphatemic Rickets,C,C18.452.104.816.875.500,"Rickets, Hypophosphatemic",Rickets,"Bone Diseases, Metabolic",Metabolic Diseases,Nutritional and Metabolic Diseases,5
Familial Hypophosphatemic Rickets,C,C18.452.648.618.544.500,"Hypophosphatemia, Familial","Metal Metabolism, Inborn Errors","Metabolism, Inborn Errors",Metabolic Diseases,Nutritional and Metabolic Diseases,5
Familial Hypophosphatemic Rickets,C,C18.452.174.845.875.500,"Rickets, Hypophosphatemic",Rickets,Calcium Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,5
Familial Hypophosphatemic Rickets,C,C18.654.521.500.133.770.734.875.500,"Rickets, Hypophosphatemic",Rickets,Vitamin D Deficiency,Avitaminosis,Deficiency Diseases,5
Familial Hypophosphatemic Rickets,C,C18.452.750.400.500.500,"Hypophosphatemia, Familial",Hypophosphatemia,Phosphorus Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,5
Familial Hypophosphatemic Rickets,C,C18.452.750.400.750.500,"Rickets, Hypophosphatemic",Hypophosphatemia,Phosphorus Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,5
Familial Hypophosphatemic Rickets,C,C13.351.968.419.815.647.500,"Hypophosphatemia, Familial","Renal Tubular Transport, Inborn Errors",Kidney Diseases,Urologic Diseases,Female Urogenital Diseases,5
Familial Hypophosphatemic Rickets,C,C12.777.419.815.647.500,"Hypophosphatemia, Familial","Renal Tubular Transport, Inborn Errors",Kidney Diseases,Urologic Diseases,Male Urogenital Diseases,5
Familial Hypophosphatemic Rickets,C,C05.116.198.816.875.500,"Rickets, Hypophosphatemic",Rickets,"Bone Diseases, Metabolic",Bone Diseases,Musculoskeletal Diseases,5
Fetal Macrosomia,C,C13.703.170.500,"Diabetes, Gestational",Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,5
Fetal Macrosomia,C,C13.703.277.570,Fetal Diseases,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,5
Fetal Macrosomia,C,C13.703.726.570,Pregnancy in Diabetics,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,5
Fetal Macrosomia,C,C19.246.099.968,Diabetes Complications,Diabetes Mellitus,Endocrine System Diseases,NULL,NULL,5
Fetal Macrosomia,C,C16.300.570,Fetal Diseases,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,NULL,NULL,5
Fetal Macrosomia,C,C23.888.144.186.500,Birth Weight,Body Weight,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,5
Fetal Weight,C,C23.888.144.300,Body Weight,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Gallbladder Neoplasms,C,C04.588.274.120.401,Biliary Tract Neoplasms,Digestive System Neoplasms,Neoplasms by Site,Neoplasms,NULL,5
Gallbladder Neoplasms,C,C06.130.320.401,Biliary Tract Neoplasms,Biliary Tract Diseases,Digestive System Diseases,NULL,NULL,5
Gallbladder Neoplasms,C,C06.130.564.401,Gallbladder Diseases,Biliary Tract Diseases,Digestive System Diseases,NULL,NULL,5
Gallbladder Neoplasms,C,C06.301.120.401,Biliary Tract Neoplasms,Digestive System Neoplasms,Digestive System Diseases,NULL,NULL,5
Gallstones,C,C06.130.409.633,Cholelithiasis,Biliary Tract Diseases,Digestive System Diseases,NULL,NULL,5
Gallstones,C,C06.130.564.332.500,Cholecystolithiasis,Gallbladder Diseases,Biliary Tract Diseases,Digestive System Diseases,NULL,5
Gallstones,C,C23.300.175.525,Calculi,"Pathological Conditions, Anatomical","Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Graft vs Host Disease,C,C20.452,Immune System Diseases,NULL,NULL,NULL,NULL,5
Granulomatosis with Polyangiitis,C,C20.111.193.875,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,Autoimmune Diseases,Immune System Diseases,NULL,NULL,5
Granulomatosis with Polyangiitis,C,C14.907.940.897.249.750,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,Systemic Vasculitis,Vasculitis,Vascular Diseases,Cardiovascular Diseases,5
Granulomatosis with Polyangiitis,C,C08.381.483.950,"Lung Diseases, Interstitial",Lung Diseases,Respiratory Tract Diseases,NULL,NULL,5
Hallucinations,C,C10.597.606.762.300,Perceptual Disorders,Neurobehavioral Manifestations,Neurologic Manifestations,Nervous System Diseases,NULL,5
Hallucinations,C,C23.888.592.604.764.300,Perceptual Disorders,Neurobehavioral Manifestations,Neurologic Manifestations,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",5
"Hearing Loss, Sensorineural",C,C23.888.592.763.393.341.887,Hearing Loss,Hearing Disorders,Sensation Disorders,Neurologic Manifestations,Signs and Symptoms,5
"Hearing Loss, Sensorineural",C,C10.597.751.418.341.887,Hearing Loss,Hearing Disorders,Sensation Disorders,Neurologic Manifestations,Nervous System Diseases,5
"Hearing Loss, Sensorineural",C,C09.218.458.341.887,Hearing Loss,Hearing Disorders,Ear Diseases,Otorhinolaryngologic Diseases,NULL,5
"Helminthiasis, Animal",C,C01.610.335.349,Helminthiasis,Parasitic Diseases,Infections,NULL,NULL,5
"Helminthiasis, Animal",C,C01.610.701.377,"Parasitic Diseases, Animal",Parasitic Diseases,Infections,NULL,NULL,5
"Helminthiasis, Animal",C,C22.674.377,"Parasitic Diseases, Animal",Animal Diseases,NULL,NULL,NULL,5
Histoplasmosis,C,C01.150.703.450,Mycoses,Bacterial Infections and Mycoses,Infections,NULL,NULL,5
Hyperinsulinism,C,C18.452.394.968,Glucose Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,NULL,5
Hyperplasia,C,C23.550.444,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,5
Hyponatremia,C,C18.452.950.620,Water-Electrolyte Imbalance,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,NULL,5
Hypospadias,C,C16.131.939.516,Urogenital Abnormalities,Congenital Abnormalities,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,NULL,5
Hypospadias,C,C12.294.494.400,Penile Diseases,"Genital Diseases, Male",Male Urogenital Diseases,NULL,NULL,5
Hypospadias,C,C12.706.516,Urogenital Abnormalities,Male Urogenital Diseases,NULL,NULL,NULL,5
Hypospadias,C,C13.351.875.466,Urogenital Abnormalities,Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,5
Hypovolemia,C,C23.550.455,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,5
Infant Death,C,C23.550.260.657,Death,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Infarction,C,C23.550.513.355,Ischemia,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Infarction,C,C23.550.717.489,Necrosis,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Intestinal Perforation,C,C06.405.469.557,Intestinal Diseases,Gastrointestinal Diseases,Digestive System Diseases,NULL,NULL,5
"Intracranial Hemorrhage, Traumatic",C,C10.228.140.300.535.450,Intracranial Hemorrhages,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,5
"Intracranial Hemorrhage, Traumatic",C,C14.907.253.573.400,Intracranial Hemorrhages,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,NULL,5
"Intracranial Hemorrhage, Traumatic",C,C10.900.300.837,Craniocerebral Trauma,"Trauma, Nervous System",Nervous System Diseases,NULL,NULL,5
"Intracranial Hemorrhage, Traumatic",C,C26.915.300.490,Craniocerebral Trauma,"Trauma, Nervous System",Wounds and Injuries,NULL,NULL,5
Ischemic Stroke,C,C14.907.253.855.400,Stroke,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,NULL,5
Ischemic Stroke,C,C10.228.140.300.775.400,Stroke,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,5
Keratoconus,C,C11.204.627,Corneal Diseases,Eye Diseases,NULL,NULL,NULL,5
Kuru,C,C10.574.843.625,Prion Diseases,Neurodegenerative Diseases,Nervous System Diseases,NULL,NULL,5
Kuru,C,C10.228.228.800.435,Prion Diseases,Central Nervous System Infections,Central Nervous System Diseases,Nervous System Diseases,NULL,5
Kuru,C,C01.207.800.435,Prion Diseases,Central Nervous System Infections,Infections,NULL,NULL,5
Larva Migrans,C,C01.610.335.508.523,Nematode Infections,Helminthiasis,Parasitic Diseases,Infections,NULL,5
Larva Migrans,C,C01.610.858.424,"Skin Diseases, Parasitic",Parasitic Diseases,Infections,NULL,NULL,5
Larva Migrans,C,C17.800.838.775.424,"Skin Diseases, Parasitic","Skin Diseases, Infectious",Skin Diseases,Skin and Connective Tissue Diseases,NULL,5
Lead Poisoning,C,C25.723.522.750,Heavy Metal Poisoning,Poisoning,Chemically-Induced Disorders,NULL,NULL,5
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",C,C15.378.190.636.370,Myeloproliferative Disorders,Bone Marrow Diseases,Hematologic Diseases,Hemic and Lymphatic Diseases,NULL,5
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",C,C04.557.337.539.250,"Leukemia, Myeloid",Leukemia,Neoplasms by Histologic Type,Neoplasms,NULL,5
Leukopenia,C,C15.378.553.546,Leukocyte Disorders,Hematologic Diseases,Hemic and Lymphatic Diseases,NULL,NULL,5
"Liver Abscess, Amebic",C,C01.830.025.020.455.460,Liver Abscess,Abdominal Abscess,Abscess,Suppuration,Infections,5
"Liver Abscess, Amebic",C,C01.610.518.600,"Liver Diseases, Parasitic",Parasitic Diseases,Infections,NULL,NULL,5
"Liver Abscess, Amebic",C,C01.610.752.049.703,Amebiasis,Protozoan Infections,Parasitic Diseases,Infections,NULL,5
"Liver Abscess, Amebic",C,C06.552.664.642,"Liver Diseases, Parasitic",Liver Diseases,Digestive System Diseases,NULL,NULL,5
"Liver Abscess, Amebic",C,C06.552.597.517,Liver Abscess,Liver Diseases,Digestive System Diseases,NULL,NULL,5
"Liver Diseases, Parasitic",C,C06.552.664,Liver Diseases,Digestive System Diseases,NULL,NULL,NULL,5
"Liver Diseases, Parasitic",C,C01.610.518,Parasitic Diseases,Infections,NULL,NULL,NULL,5
"Liver Failure, Acute",C,C06.552.308.500.750,Liver Failure,Hepatic Insufficiency,Liver Diseases,Digestive System Diseases,NULL,5
Long QT Syndrome,C,C16.131.240.400.715,"Heart Defects, Congenital",Cardiovascular Abnormalities,Congenital Abnormalities,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",NULL,5
Long QT Syndrome,C,C23.550.073.547,"Arrhythmias, Cardiac",Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Long QT Syndrome,C,C14.280.067.565,"Arrhythmias, Cardiac",Heart Diseases,Cardiovascular Diseases,NULL,NULL,5
Long QT Syndrome,C,C14.280.123.625,Cardiac Conduction System Disease,Heart Diseases,Cardiovascular Diseases,NULL,NULL,5
Lymphadenitis,C,C15.604.315,Lymphatic Diseases,Hemic and Lymphatic Diseases,NULL,NULL,NULL,5
"Lymphoma, Follicular",C,C15.604.515.569.480.350,"Lymphoma, Non-Hodgkin",Lymphoma,Lymphoproliferative Disorders,Lymphatic Diseases,Hemic and Lymphatic Diseases,5
"Lymphoma, Follicular",C,C20.683.515.761.480.350,"Lymphoma, Non-Hodgkin",Lymphoma,Lymphoproliferative Disorders,Immunoproliferative Disorders,Immune System Diseases,5
"Lymphoma, Follicular",C,C04.557.386.480.350,"Lymphoma, Non-Hodgkin",Lymphoma,Neoplasms by Histologic Type,Neoplasms,NULL,5
Mansonelliasis,C,C01.610.335.508.700.750.361.588,Filariasis,Spirurida Infections,Secernentea Infections,Nematode Infections,Helminthiasis,5
Mitochondrial Diseases,C,C18.452.660,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,NULL,NULL,5
Mouth Diseases,C,C07.465,Stomatognathic Diseases,NULL,NULL,NULL,NULL,5
Muscle Weakness,C,C05.651.515,Muscular Diseases,Musculoskeletal Diseases,NULL,NULL,NULL,5
Muscle Weakness,C,C10.597.613.593,Neuromuscular Manifestations,Neurologic Manifestations,Nervous System Diseases,NULL,NULL,5
Muscle Weakness,C,C23.550.695,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,5
Muscle Weakness,C,C23.888.592.608.593,Neuromuscular Manifestations,Neurologic Manifestations,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,5
Nasal Polyps,C,C23.300.825.557,Polyps,"Pathological Conditions, Anatomical","Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Nasal Polyps,C,C09.603.557,Nose Diseases,Otorhinolaryngologic Diseases,NULL,NULL,NULL,5
Nasal Polyps,C,C08.460.572,Nose Diseases,Respiratory Tract Diseases,NULL,NULL,NULL,5
Neuroblastoma,C,C04.557.470.670.590.650.550,"Neuroectodermal Tumors, Primitive, Peripheral","Neuroectodermal Tumors, Primitive","Neoplasms, Neuroepithelial","Neoplasms, Glandular and Epithelial",Neoplasms by Histologic Type,5
Neuroblastoma,C,C04.557.580.625.600.590.650.550,"Neuroectodermal Tumors, Primitive, Peripheral","Neuroectodermal Tumors, Primitive","Neoplasms, Neuroepithelial",Neuroectodermal Tumors,"Neoplasms, Nerve Tissue",5
Neuroblastoma,C,C04.557.465.625.600.590.650.550,"Neuroectodermal Tumors, Primitive, Peripheral","Neuroectodermal Tumors, Primitive","Neoplasms, Neuroepithelial",Neuroectodermal Tumors,"Neoplasms, Germ Cell and Embryonal",5
Neuromuscular Diseases,C,C10.668,Nervous System Diseases,NULL,NULL,NULL,NULL,5
Night Blindness,C,C11.966.671,Vision Disorders,Eye Diseases,NULL,NULL,NULL,5
Oropharyngeal Neoplasms,C,C07.550.745.671,Pharyngeal Neoplasms,Pharyngeal Diseases,Stomatognathic Diseases,NULL,NULL,5
Oropharyngeal Neoplasms,C,C09.647.710.685,Pharyngeal Neoplasms,Otorhinolaryngologic Neoplasms,Otorhinolaryngologic Diseases,NULL,NULL,5
Oropharyngeal Neoplasms,C,C09.775.549.685,Pharyngeal Neoplasms,Pharyngeal Diseases,Otorhinolaryngologic Diseases,NULL,NULL,5
Oropharyngeal Neoplasms,C,C04.588.443.665.710.684,Pharyngeal Neoplasms,Otorhinolaryngologic Neoplasms,Head and Neck Neoplasms,Neoplasms by Site,Neoplasms,5
Osteosarcoma,C,C04.557.450.565.575.650,"Neoplasms, Bone Tissue","Neoplasms, Connective Tissue","Neoplasms, Connective and Soft Tissue",Neoplasms by Histologic Type,Neoplasms,5
Osteosarcoma,C,C04.557.450.795.620,Sarcoma,"Neoplasms, Connective and Soft Tissue",Neoplasms by Histologic Type,Neoplasms,NULL,5
Pallor,C,C23.888.885.500,Skin Manifestations,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
"Paraparesis, Tropical Spastic",C,C01.925.782.815.200.470.710,HTLV-I Infections,Deltaretrovirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,5
"Paraparesis, Tropical Spastic",C,C01.207.618.500,Myelitis,Central Nervous System Infections,Infections,NULL,NULL,5
"Paraparesis, Tropical Spastic",C,C10.228.228.618.500,Myelitis,Central Nervous System Infections,Central Nervous System Diseases,Nervous System Diseases,NULL,5
"Paraparesis, Tropical Spastic",C,C10.228.854.525.700,Myelitis,Spinal Cord Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,5
Paratuberculosis,C,C22.688,Animal Diseases,NULL,NULL,NULL,NULL,5
Paratuberculosis,C,C01.150.252.410.040.552.475.747,"Mycobacterium Infections, Nontuberculous",Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,Bacterial Infections,5
"Pericarditis, Tuberculous",C,C01.190.750.595,"Tuberculosis, Cardiovascular",Cardiovascular Infections,Infections,NULL,NULL,5
"Pericarditis, Tuberculous",C,C01.150.252.410.040.552.846.554.595,"Tuberculosis, Cardiovascular",Tuberculosis,Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,5
"Pericarditis, Tuberculous",C,C14.260.750.595,"Tuberculosis, Cardiovascular",Cardiovascular Infections,Cardiovascular Diseases,NULL,NULL,5
"Pericarditis, Tuberculous",C,C14.280.720.801,Pericarditis,Heart Diseases,Cardiovascular Diseases,NULL,NULL,5
Pica,C,C23.888.821.825,"Signs and Symptoms, Digestive",Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,5
Pigmentation Disorders,C,C23.550.755,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,NULL,5
Pigmentation Disorders,C,C17.800.621,Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,NULL,5
