Label,category,Vocabulary ID,Parent,GrandParent,n
Tooth Extraction,E,E06.645.700,Oral Surgical Procedures,Dentistry,4
Tooth Extraction,E,E04.545.700,Oral Surgical Procedures,"Surgical Procedures, Operative",4
Tooth Germ,A,A14.549.167.900.720,Tooth Components,Dentition,4
Toxocara,B,B01.050.500.500.294.400.500.100.780,Ascaridoidea,Ascaridida,4
Trachea,A,A04.889,Respiratory System,NULL,4
Translational Medical Research,H,H01.770.644.145.675,Biomedical Research,Research,4
Transplantation Immunology,G,G12.875,Immune System Phenomena,NULL,4
"Transplantation, Heterologous",E,E04.936.764,Transplantation,"Surgical Procedures, Operative",4
Transurethral Resection of Prostate,E,E04.950.774.860.625.750,Prostatectomy,"Urologic Surgical Procedures, Male",4
Tremor,C,C23.888.592.350.850,Dyskinesias,Neurologic Manifestations,4
Tremor,C,C10.597.350.850,Dyskinesias,Neurologic Manifestations,4
Trichinellosis,C,C01.610.335.508.100.275.882,Enoplida Infections,Adenophorea Infections,4
"Tuberculosis, Cutaneous",C,C01.800.720.820,"Skin Diseases, Bacterial","Skin Diseases, Infectious",4
"Tuberculosis, Cutaneous",C,C01.150.252.819.820,"Skin Diseases, Bacterial",Bacterial Infections,4
"Tuberculosis, Cutaneous",C,C01.150.252.410.040.552.846.588,Tuberculosis,Mycobacterium Infections,4
"Tuberculosis, Cutaneous",C,C17.800.838.765.820,"Skin Diseases, Bacterial","Skin Diseases, Infectious",4
"Typhus, Endemic Flea-Borne",C,C01.150.252.400.789.725.800,Rickettsia Infections,Rickettsiaceae Infections,4
"Typhus, Endemic Flea-Borne",C,C01.920.914.725.800,Rickettsia Infections,Rickettsiaceae Infections,4
Ultrafiltration,E,E05.196.454.807,Filtration,"Chemistry Techniques, Analytical",4
Ultrafiltration,E,E04.292.975,Extracorporeal Circulation,"Surgical Procedures, Operative",4
Ultrafiltration,G,G01.280.807,Filtration,Physical Phenomena,4
Ultrafiltration,G,G02.263.807,Filtration,Chemical Phenomena,4
Ultrasonics,H,H01.671.031.849,Acoustics,Physics,4
"Ultrasonography, Doppler, Transcranial",E,E05.629.937.260.850,Echoencephalography,Neuroradiography,4
"Ultrasonography, Doppler, Transcranial",E,E01.370.350.850.260.850,Echoencephalography,Ultrasonography,4
"Ultrasonography, Doppler, Transcranial",E,E01.370.350.850.850.870,"Ultrasonography, Doppler",Ultrasonography,4
"Ultrasonography, Doppler, Transcranial",E,E01.370.376.537.750.260.850,Echoencephalography,Neuroradiography,4
"Ultrasonography, Doppler, Transcranial",E,E01.370.350.700.560.260.850,Echoencephalography,Neuroradiography,4
"Ultrasonography, Doppler, Transcranial",E,E01.370.350.578.937.260.850,Echoencephalography,Neuroradiography,4
Umbilical Arteries,A,A07.015.114.929,Arteries,Blood Vessels,4
Umbilical Arteries,A,A16.378.693.641,Umbilical Cord,Fetus,4
Umbilical Veins,A,A16.378.693.807,Umbilical Cord,Fetus,4
Umbilical Veins,A,A07.015.908.670.874,Portal System,Veins,4
Unconsciousness,C,C10.597.606.358.800,Consciousness Disorders,Neurobehavioral Manifestations,4
Unconsciousness,C,C23.888.592.604.359.800,Consciousness Disorders,Neurobehavioral Manifestations,4
Ureaplasma,B,B03.440.860.580.553.900,Mycoplasmataceae,Mycoplasmatales,4
Urease,D,D08.811.277.087.902,Amidohydrolases,Hydrolases,4
Urinary Catheters,E,E07.132.625,Catheters,Equipment and Supplies,4
Urologic Neoplasms,C,C04.588.945.947,Urogenital Neoplasms,Neoplasms by Site,4
Urologic Neoplasms,C,C12.758.820,Urogenital Neoplasms,Male Urogenital Diseases,4
Urologic Neoplasms,C,C13.351.937.820,Urogenital Neoplasms,Female Urogenital Diseases,4
Vascular Endothelial Growth Factor Receptor-2,D,D08.811.913.696.620.682.725.400.950.200,"Receptors, Vascular Endothelial Growth Factor",Receptor Protein-Tyrosine Kinases,4
Vascular Endothelial Growth Factor Receptor-2,D,D12.776.543.750.750.400.910.200,"Receptors, Vascular Endothelial Growth Factor","Receptors, Growth Factor",4
Vascular Endothelial Growth Factor Receptor-2,D,D12.776.543.750.630.750.200,"Receptors, Vascular Endothelial Growth Factor",Receptor Protein-Tyrosine Kinases,4
Vasoconstriction,G,G09.330.380.925,Hemodynamics,Cardiovascular Physiological Phenomena,4
Vasomotor System,A,A08.800.050.800.900,Sympathetic Nervous System,Autonomic Nervous System,4
"Ventricular Dysfunction, Right",C,C14.280.945.910,Ventricular Dysfunction,Heart Diseases,4
Ventricular Fibrillation,C,C14.280.067.922,"Arrhythmias, Cardiac",Heart Diseases,4
Ventricular Fibrillation,C,C23.550.073.922,"Arrhythmias, Cardiac",Pathologic Processes,4
"Ventricular Function, Right",G,G09.330.955.900,Ventricular Function,Cardiovascular Physiological Phenomena,4
Vibrio cholerae O139,B,B03.440.450.900.859.225.200,Vibrio cholerae,Vibrio,4
Vibrio cholerae O139,B,B03.660.250.830.830.100.200,Vibrio cholerae,Vibrio,4
Visual Cortex,A,A08.186.211.200.885.287.500.571.735,Occipital Lobe,Cerebral Cortex,4
Visual Cortex,A,A08.186.211.200.885.287.500.814.953,Sensorimotor Cortex,Cerebral Cortex,4
Vitamin D-Binding Protein,D,D12.776.157.920,Carrier Proteins,Proteins,4
Walking Speed,E,E01.370.600.250.500,Gait,Physical Examination,4
Walking Speed,G,G11.427.410.568.900.750.500,Gait,Walking,4
Water Movements,G,G16.500.971,Ecological and Environmental Phenomena,Biological Phenomena,4
Water Movements,N,N06.230.850,Environment,Environment and Public Health,4
Water Movements,N,N06.230.132.644.750,Renewable Energy,Energy-Generating Resources,4
Wilms Tumor,C,C04.588.945.947.535.585,Kidney Neoplasms,Urologic Neoplasms,4
Wilms Tumor,C,C04.700.900,"Neoplastic Syndromes, Hereditary",Neoplasms,4
Wilms Tumor,C,C04.557.435.595,"Neoplasms, Complex and Mixed",Neoplasms by Histologic Type,4
Wilms Tumor,C,C13.351.968.419.473.585,Kidney Neoplasms,Kidney Diseases,4
Wilms Tumor,C,C13.351.937.820.535.585,Kidney Neoplasms,Urologic Neoplasms,4
Wilms Tumor,C,C16.320.700.900,"Neoplastic Syndromes, Hereditary","Genetic Diseases, Inborn",4
Wilms Tumor,C,C12.758.820.750.585,Kidney Neoplasms,Urologic Neoplasms,4
Wilms Tumor,C,C12.777.419.473.585,Kidney Neoplasms,Kidney Diseases,4
Witchcraft,E,E02.190.901.968,Spiritual Therapies,Complementary Therapies,4
Witchcraft,I,I01.076.201.450.897.439.925,Magic,Superstitions,4
"Wounds, Stab",C,C26.986.950,"Wounds, Penetrating",Wounds and Injuries,4
Xanthenes,D,D03.633.300.953,"Heterocyclic Compounds, 3-Ring","Heterocyclic Compounds, Fused-Ring",4
Xanthine Oxidase,D,D08.811.682.047.928,Alcohol Oxidoreductases,Oxidoreductases,4
Xanthines,D,D03.633.100.759.758.824,Purinones,Purines,4
Xanthines,D,D03.132.960,Alkaloids,Heterocyclic Compounds,4
Xenobiotics,D,D26.969,Pharmaceutical Preparations,NULL,4
Xenograft Model Antitumor Assays,E,E05.624.850,Neoplasm Transplantation,Investigative Techniques,4
Xenograft Model Antitumor Assays,E,E05.337.550.200.900,"Drug Screening Assays, Antitumor","Drug Evaluation, Preclinical",4
X-ray Repair Cross Complementing Protein 1,D,D12.776.660.720.813,Poly-ADP-Ribose Binding Proteins,Nuclear Proteins,4
X-ray Repair Cross Complementing Protein 1,D,D12.776.157.687.813,Poly-ADP-Ribose Binding Proteins,Carrier Proteins,4
X-ray Repair Cross Complementing Protein 1,D,D12.776.260.963,DNA-Binding Proteins,Proteins,4
Yeasts,B,B01.300.930,Fungi,Eukaryota,4
Zinc Fingers,G,G02.111.570.820.709.275.500.985,Amino Acid Motifs,Protein Structural Elements,4
Zoology,H,H01.158.273.943,Biology,Biological Science Disciplines,4
11-beta-Hydroxysteroid Dehydrogenase Type 2,D,D08.811.682.047.436.174.600,11-beta-Hydroxysteroid Dehydrogenases,Hydroxysteroid Dehydrogenases,3
11-beta-Hydroxysteroid Dehydrogenase Type 2,D,D08.811.682.047.820.100.600,11-beta-Hydroxysteroid Dehydrogenases,NAD (+) and NADP (+) Dependent Alcohol Oxidoreductases,3
2-Naphthylamine,D,D04.615.638.850,Naphthalenes,Polycyclic Aromatic Hydrocarbons,3
2-Naphthylamine,D,D02.455.426.559.847.638.850,Naphthalenes,Polycyclic Aromatic Hydrocarbons,3
2-Naphthylamine,D,D02.092.710,Amines,Organic Chemicals,3
A Kinase Anchor Proteins,D,D12.776.157.057.003,"Adaptor Proteins, Signal Transducing",Carrier Proteins,3
A Kinase Anchor Proteins,D,D12.644.360.024.065,"Adaptor Proteins, Signal Transducing",Intracellular Signaling Peptides and Proteins,3
A Kinase Anchor Proteins,D,D12.776.476.024.069,"Adaptor Proteins, Signal Transducing",Intracellular Signaling Peptides and Proteins,3
Abbreviated Injury Scale,N,N05.715.360.300.715.500.800.100,Trauma Severity Indices,Medical Records,3
Abbreviated Injury Scale,N,N04.452.859.564.800.125,Trauma Severity Indices,Medical Records,3
Abbreviated Injury Scale,E,E05.944.250,Trauma Severity Indices,Investigative Techniques,3
Abbreviated Injury Scale,E,E05.318.308.940.968.875.125,Trauma Severity Indices,Medical Records,3
Abbreviations as Topic,L,L01.559.598.400.556.131,Names,Terminology as Topic,3
Abciximab,D,D12.644.541.500.650.125,Immunoglobulin Fab Fragments,Immunoglobulin Fragments,3
Abciximab,D,D12.776.124.790.651.680.650.125,Immunoglobulin Fab Fragments,Immunoglobulin Fragments,3
Abciximab,D,D12.776.124.790.651.114.224.060.125,"Antibodies, Monoclonal, Humanized","Antibodies, Monoclonal",3
Abciximab,D,D12.776.124.486.485.680.650.125,Immunoglobulin Fab Fragments,Immunoglobulin Fragments,3
Abciximab,D,D12.776.124.486.485.114.224.060.125,"Antibodies, Monoclonal, Humanized","Antibodies, Monoclonal",3
Abciximab,D,D12.776.377.715.548.680.650.125,Immunoglobulin Fab Fragments,Immunoglobulin Fragments,3
Abciximab,D,D12.776.377.715.548.114.224.200.125,"Antibodies, Monoclonal, Humanized","Antibodies, Monoclonal",3
"Accidents, Aviation",N,N06.850.135.185,Accidents,Public Health,3
"Accommodation, Ocular",G,G14.010,Ocular Physiological Phenomena,NULL,3
Acetates,D,D10.251.400.045,"Fatty Acids, Volatile",Fatty Acids,3
Acetates,D,D02.241.081.018,"Acids, Acyclic",Carboxylic Acids,3
Acetazolamide,D,D03.383.129.708.867.060,Thiadiazoles,Thiazoles,3
Acetazolamide,D,D02.886.675.867.060,Thiadiazoles,Thiazoles,3
Acetylgalactosamine,D,D09.067.342.356.050,Galactosamine,Hexosamines,3
Acridines,D,D03.633.300.046,"Heterocyclic Compounds, 3-Ring","Heterocyclic Compounds, Fused-Ring",3
Acrylates,D,D02.241.081.069,"Acids, Acyclic",Carboxylic Acids,3
Actinomycetales Infections,C,C01.150.252.410.040,Gram-Positive Bacterial Infections,Bacterial Infections,3
Actomyosin,D,D12.776.210.500.154,Muscle Proteins,Contractile Proteins,3
Acute Chest Syndrome,C,C08.381.074,Lung Diseases,Respiratory Tract Diseases,3
Acute Chest Syndrome,C,C08.618.009,Respiration Disorders,Respiratory Tract Diseases,3
Acute Chest Syndrome,C,C16.320.365.155.219,"Anemia, Sickle Cell",Hemoglobinopathies,3
Acute Chest Syndrome,C,C16.320.070.150.219,"Anemia, Sickle Cell","Anemia, Hemolytic, Congenital",3
Acute Chest Syndrome,C,C15.378.071.141.150.150.219,"Anemia, Sickle Cell","Anemia, Hemolytic, Congenital",3
Acute Chest Syndrome,C,C15.378.420.155.219,"Anemia, Sickle Cell",Hemoglobinopathies,3
Addison Disease,C,C20.111.163,Autoimmune Diseases,Immune System Diseases,3
Addison Disease,C,C19.053.500.263,Adrenal Insufficiency,Adrenal Gland Diseases,3
"Adenocarcinoma, Follicular",C,C04.557.470.200.025.060,Adenocarcinoma,Carcinoma,3
Adoption,I,I01.880.853.150.140,Family,Sociological Factors,3
ADP-ribosyl Cyclase 1,D,D08.811.277.450.430.400.060.500,ADP-ribosyl Cyclase,NAD+ Nucleosidase,3
ADP-ribosyl Cyclase 1,D,D12.776.543.550.045,Membrane Glycoproteins,Membrane Proteins,3
Adrenal Glands,A,A06.300.071,Endocrine Glands,Endocrine System,3
Adrenarche,G,G08.686.760.204,Puberty,Reproductive Physiological Phenomena,3
Adrenarche,G,G08.686.841.374.204,Puberty,Sexual Development,3
Adrenergic beta-2 Receptor Agonists,D,D27.505.519.625.050.100.200.200,Adrenergic beta-Agonists,Adrenergic Agonists,3
Adrenergic beta-2 Receptor Agonists,D,D27.505.696.577.050.100.200.200,Adrenergic beta-Agonists,Adrenergic Agonists,3
Adrenergic beta-2 Receptor Antagonists,D,D27.505.696.577.050.200.200.200,Adrenergic beta-Antagonists,Adrenergic Antagonists,3
Adrenergic beta-2 Receptor Antagonists,D,D27.505.519.625.050.200.200.200,Adrenergic beta-Antagonists,Adrenergic Antagonists,3
Afghan Campaign 2001-,I,I01.880.735.950.250.094,Armed Conflicts,Warfare and Armed Conflicts,3
Afghan Campaign 2001-,K,K01.400.504.984.124,"History, 21st Century","History, Modern 1601-",3
African Continental Ancestry Group,M,M01.686.508.100,Continental Population Groups,Population Groups,3
Age Determination by Skeleton,E,E01.370.350.700.050,Radiography,Diagnostic Imaging,3
Age Determination by Skeleton,E,E01.370.049,Diagnostic Techniques and Procedures,Diagnosis,3
Ageism,F,F01.829.595.249,Prejudice,"Psychology, Social",3
Ageism,F,F01.145.813.629.500,Social Discrimination,Social Behavior,3
Ageism,F,F01.145.813.550.249,Prejudice,Social Behavior,3
Agranulocytosis,C,C15.378.553.546.184,Leukopenia,Leukocyte Disorders,3
AIDS-Related Complex,C,C20.673.480.080,HIV Infections,Immunologic Deficiency Syndromes,3
AIDS-Related Complex,C,C01.925.813.400.080,HIV Infections,"Sexually Transmitted Diseases, Viral",3
AIDS-Related Complex,C,C01.925.839.080,Slow Virus Diseases,Virus Diseases,3
AIDS-Related Complex,C,C01.925.782.815.616.400.080,HIV Infections,Lentivirus Infections,3
AIDS-Related Complex,C,C01.221.812.640.400.080,HIV Infections,"Sexually Transmitted Diseases, Viral",3
AIDS-Related Complex,C,C01.221.250.875.080,HIV Infections,Blood-Borne Infections,3
AIDS-Related Complex,C,C01.778.640.400.080,HIV Infections,"Sexually Transmitted Diseases, Viral",3
"Air Pollutants, Radioactive",D,D27.888.284.101.393,Air Pollutants,Environmental Pollutants,3
"Air Pollutants, Radioactive",D,D20.693.101,Radioactive Pollutants,Complex Mixtures,3
Alaska,Z,Z01.107.567.875.580.100,Pacific States,United States,3
Alberta,Z,Z01.107.567.176.064,Canada,North America,3
Alcohol Oxidoreductases,D,D08.811.682.047,Oxidoreductases,Enzymes,3
Aldehydes,D,D02.047,Organic Chemicals,NULL,3
Allied Health Occupations,H,H02.010,Health Occupations,NULL,3
Allosteric Regulation,G,G02.111.044,Biochemical Phenomena,Chemical Phenomena,3
alpha-Linolenic Acid,D,D10.251.355.337.100,"Fatty Acids, Omega-3","Fatty Acids, Unsaturated",3
alpha-Linolenic Acid,D,D10.251.355.310.640.400,Linolenic Acids,"Fatty Acids, Essential",3
alpha-Linolenic Acid,D,D10.212.302.380.410.100,"Fatty Acids, Omega-3","Dietary Fats, Unsaturated",3
alpha-Macroglobulins,D,D12.776.377.715.085.100,Alpha-Globulins,Serum Globulins,3
alpha-Macroglobulins,D,D12.776.377.715.647.100,Macroglobulins,Serum Globulins,3
alpha-Macroglobulins,D,D12.776.124.790.106.100,Alpha-Globulins,Serum Globulins,3
alpha-Macroglobulins,D,D12.776.124.050.080,Acute-Phase Proteins,Blood Proteins,3
alpha-Macroglobulins,D,D12.776.124.790.720.100,Macroglobulins,Serum Globulins,3
Alprostadil,D,D10.251.355.325.050,"Fatty Acids, Monounsaturated","Fatty Acids, Unsaturated",3
Alprostadil,D,D10.251.355.255.550.250.100,Prostaglandins E,Prostaglandins,3
Alprostadil,D,D23.469.050.175.725.250.100,Prostaglandins E,Prostaglandins,3
Altitude Sickness,C,C08.618.020,Respiration Disorders,Respiratory Tract Diseases,3
Aluminum Hydroxide,D,D01.248.497.158.459.075,Hydroxides,Anions,3
Aluminum Hydroxide,D,D01.045.250.050,Hydroxides,Alkalies,3
Aluminum Hydroxide,D,D01.056.037,Aluminum Compounds,Inorganic Chemicals,3
Ambulatory Care Information Systems,N,N04.452.515.360.050,Hospital Information Systems,Management Information Systems,3
Ambulatory Care Information Systems,N,N04.452.442.452.452.250,Hospital Information Systems,Hospital Administration,3
Aminobutyrates,D,D02.241.081.114.500,Butyrates,"Acids, Acyclic",3
Aminobutyrates,D,D12.125.190,Amino Acids,"Amino Acids, Peptides, and Proteins",3
Amitriptyline,D,D04.615.181.384.100,Dibenzocycloheptenes,Benzocycloheptenes,3
Amitriptyline,D,D02.455.426.559.847.181.384.100,Dibenzocycloheptenes,Benzocycloheptenes,3
Amphetamines,D,D02.092.471.683.152,Phenethylamines,Ethylamines,3
"Analgesia, Obstetrical",E,E03.091.110,Analgesia,Anesthesia and Analgesia,3
Anaplasmosis,C,C22.085,Animal Diseases,NULL,3
Anaplasmosis,C,C01.150.252.400.054.500,Anaplasmataceae Infections,Gram-Negative Bacterial Infections,3
Anaplasmosis,C,C01.150.252.400.082,Gram-Negative Bacterial Infections,Bacterial Infections,3
Anaplasmosis,C,C01.920.930.163,Tick-Borne Diseases,Vector Borne Diseases,3
"Anastomosis, Surgical",E,E04.035,"Surgical Procedures, Operative",NULL,3
Anastrozole,D,D03.383.129.799.275,Triazoles,Azoles,3
Anastrozole,D,D02.626.218,Nitriles,Organic Chemicals,3
Androgens,D,D27.505.696.399.472.161,Hormones,"Hormones, Hormone Substitutes, and Hormone Antagonists",3
"Anemia, Aplastic",C,C15.378.190.223.250,Bone Marrow Failure Disorders,Bone Marrow Diseases,3
"Anemia, Aplastic",C,C15.378.071.085,Anemia,Hematologic Diseases,3
"Anemia, Hypochromic",C,C15.378.071.196,Anemia,Hematologic Diseases,3
Anencephaly,C,C16.131.666.680.196,Neural Tube Defects,Nervous System Malformations,3
Anencephaly,C,C16.131.085.197,"Abnormalities, Severe Teratoid",Congenital Abnormalities,3
Anencephaly,C,C10.500.680.196,Neural Tube Defects,Nervous System Malformations,3
"Anesthetics, Inhalation",D,D27.505.696.277.100.035.060,"Anesthetics, General",Anesthetics,3
"Anesthetics, Inhalation",D,D27.505.954.427.210.100.035.060,"Anesthetics, General",Anesthetics,3
"Anesthetics, Intravenous",D,D27.505.954.427.210.100.035.075,"Anesthetics, General",Anesthetics,3
"Anesthetics, Intravenous",D,D27.505.696.277.100.035.075,"Anesthetics, General",Anesthetics,3
Aneuploidy,C,C23.550.210.050,Chromosome Aberrations,Pathologic Processes,3
Aneuploidy,G,G05.700.131,Ploidies,Genetic Phenomena,3
Aneuploidy,G,G05.365.590.175.050,Chromosome Aberrations,Mutation,3
"Aneurysm, False",C,C14.907.055.090,Aneurysm,Vascular Diseases,3
"Angioplasty, Balloon",E,E02.148.050.060,Angioplasty,Catheterization,3
"Angioplasty, Balloon",E,E04.100.814.529.124.060,Angioplasty,Endovascular Procedures,3
"Angioplasty, Balloon",E,E04.502.382.124.060,Angioplasty,Endovascular Procedures,3
"Angioplasty, Balloon",E,E05.157.016.060,Angioplasty,Catheterization,3
Anistreplase,D,D08.811.277.656.959.350.635.075,Plasminogen Activators,Serine Endopeptidases,3
Anistreplase,D,D08.811.277.656.300.775.075,Streptokinase,Endopeptidases,3
Anistreplase,D,D08.811.277.656.300.760.635.075,Plasminogen Activators,Serine Endopeptidases,3
Anistreplase,D,D12.776.124.125.662.537.075,Streptokinase,Plasminogen Activators,3
Ankle Fractures,C,C26.404.014,"Fractures, Bone",Wounds and Injuries,3
Ankle Joint,A,A02.835.583.378.062,Foot Joints,Joints,3
Anorexia,C,C23.888.821.108,"Signs and Symptoms, Digestive",Signs and Symptoms,3
Antibiosis,G,G06.550.050,Microbial Interactions,Microbiological Phenomena,3
Antibiosis,G,G16.062,Biological Phenomena,NULL,3
"Antibodies, Antiphospholipid",D,D12.776.124.486.485.114.323.210,Autoantibodies,Antibodies,3
"Antibodies, Antiphospholipid",D,D12.776.124.790.651.114.323.210,Autoantibodies,Antibodies,3
"Antibodies, Antiphospholipid",D,D12.776.377.715.548.114.323.210,Autoantibodies,Antibodies,3
"Antibodies, Fungal",D,D12.776.377.715.548.114.179,Antibodies,Immunoglobulins,3
"Antibodies, Fungal",D,D12.776.124.790.651.114.179,Antibodies,Immunoglobulins,3
"Antibodies, Fungal",D,D12.776.124.486.485.114.179,Antibodies,Immunoglobulins,3
Antidiarrheals,D,D27.505.954.483.161,Gastrointestinal Agents,Therapeutic Uses,3
"Antigens, CD1",D,D23.101.100.894.080,"Antigens, Differentiation, T-Lymphocyte","Antigens, Differentiation",3
"Antigens, CD1",D,D23.101.100.110.100,"Antigens, CD","Antigens, Differentiation",3
"Antigens, CD1",D,D23.050.301.264.035.100,"Antigens, CD","Antigens, Differentiation",3
"Antigens, CD1",D,D23.050.301.264.894.080,"Antigens, Differentiation, T-Lymphocyte","Antigens, Differentiation",3
"Antigens, CD20",D,D23.050.301.264.051.120,"Antigens, Differentiation, B-Lymphocyte","Antigens, Differentiation",3
"Antigens, CD20",D,D23.050.301.264.035.120,"Antigens, CD","Antigens, Differentiation",3
"Antigens, CD20",D,D23.101.100.110.120,"Antigens, CD","Antigens, Differentiation",3
"Antigens, CD20",D,D23.101.100.150.120,"Antigens, Differentiation, B-Lymphocyte","Antigens, Differentiation",3
"Antigens, Differentiation, Myelomonocytic",D,D23.101.100.900,"Antigens, Differentiation",Biomarkers,3
"Antigens, Differentiation, Myelomonocytic",D,D23.050.301.264.900,"Antigens, Differentiation","Antigens, Surface",3
"Antigens, Ly",D,D23.050.301.264.920,"Antigens, Differentiation","Antigens, Surface",3
"Antigens, Ly",D,D23.101.100.920,"Antigens, Differentiation",Biomarkers,3
"Antigens, Plant",D,D23.050.291,Antigens,Biological Factors,3
"Antigens, Viral, Tumor",D,D23.050.285.062,"Antigens, Neoplasm",Antigens,3
"Antigens, Viral, Tumor",D,D23.050.327.062,"Antigens, Viral",Antigens,3
"Anti-Infective Agents, Urinary",D,D27.505.954.613.056,Renal Agents,Therapeutic Uses,3
"Anti-Infective Agents, Urinary",D,D27.505.954.122.237,Anti-Infective Agents,Therapeutic Uses,3
"Antimetabolites, Antineoplastic",D,D27.505.954.248.144,Antineoplastic Agents,Therapeutic Uses,3
"Antimetabolites, Antineoplastic",D,D27.505.519.186.144,Antimetabolites,Molecular Mechanisms of Pharmacological Action,3
"Antimetabolites, Antineoplastic",D,D27.888.569.042.030,Antimetabolites,Noxae,3
Antiplatyhelmintic Agents,D,D27.505.954.122.250.075.100,Anthelmintics,Antiparasitic Agents,3
Antisepsis,N,N06.850.780.200.450.150,Infection Control,Communicable Disease Control,3
Antithrombin III,D,D23.113.025,Blood Coagulation Factor Inhibitors,Biological Factors,3
Antithrombin III,D,D12.776.872.060.500,Antithrombin Proteins,Serpins,3
Antithrombin III,D,D12.776.124.790.106.125,Alpha-Globulins,Serum Globulins,3
Antithrombin III,D,D12.644.861.060.500,Antithrombin Proteins,Serpins,3
Antithrombin III,D,D12.776.377.715.085.125,Alpha-Globulins,Serum Globulins,3
Anura,B,B01.050.150.900.090.180,Amphibians,Vertebrates,3
Anus Diseases,C,C06.405.469.860.101,Rectal Diseases,Intestinal Diseases,3
Apatites,D,D01.146.360.050,Calcium Phosphates,Calcium Compounds,3
Apatites,D,D01.029.260.700.675.374.075.025,Calcium Phosphates,Phosphates,3
Apatites,D,D01.695.625.675.650.075.025,Calcium Phosphates,Phosphates,3
Apatites,D,D01.578.122,Minerals,Inorganic Chemicals,3
Apnea,C,C23.888.852.130,"Signs and Symptoms, Respiratory",Signs and Symptoms,3
Apnea,C,C08.618.085,Respiration Disorders,Respiratory Tract Diseases,3
Apolipoprotein A-V,D,D12.776.070.400.200.575,Apolipoproteins A,Apolipoproteins,3
Apolipoprotein A-V,D,D10.532.091.200.575,Apolipoproteins A,Apolipoproteins,3
Apolipoprotein A-V,D,D12.776.521.120.200.575,Apolipoproteins A,Apolipoproteins,3
Appetite Regulation,G,G10.261.390.070.290,Appetite,Hunger,3
Appetite Regulation,G,G07.203.650.170,Nutritional Physiological Phenomena,"Diet, Food, and Nutrition",3
Appetite Regulation,G,G07.203.650.390.070.290,Appetite,Hunger,3
Arsphenamine,D,D02.129.050,Arsenicals,Organic Chemicals,3
Artemisia annua,B,B01.650.940.800.575.912.250.100.100.144,Artemisia,Asteraceae,3
"Arthroplasty, Replacement",E,E04.555.110.110,Arthroplasty,Orthopedic Procedures,3
"Arthroplasty, Replacement",E,E04.650.110,Prosthesis Implantation,"Surgical Procedures, Operative",3
"Arthroplasty, Replacement",E,E04.680.101.110,Arthroplasty,Reconstructive Surgical Procedures,3
"Asbestos, Amosite",D,D01.578.725.050.050.050,"Asbestos, Amphibole",Asbestos,3
"Asbestos, Amosite",D,D01.524.500.040,Magnesium Silicates,Magnesium Compounds,3
"Asbestos, Amosite",D,D01.578.725.500.040,Magnesium Silicates,Silicates,3
"Asbestos, Amosite",D,D01.837.725.700.760.535.040,Magnesium Silicates,Silicates,3
"Asbestos, Amosite",D,D01.837.725.700.760.070.050.060,"Asbestos, Amphibole",Asbestos,3
Ascaris suum,B,B01.050.500.500.294.400.500.100.108.700,Ascaris,Ascaridoidea,3
Ascites,C,C23.550.081,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",3
Asparaginase,D,D08.811.277.087.116,Amidohydrolases,Hydrolases,3
Asperger Syndrome,F,F03.625.164.113.250,Autism Spectrum Disorder,"Child Development Disorders, Pervasive",3
"Aspirations, Psychological",F,F02.784.629.155,"Psychology, Educational","Psychology, Applied",3
"Aspirations, Psychological",F,F01.658.100,Motivation,Behavior and Behavior Mechanisms,3
Ataxia,C,C23.888.592.350.090,Dyskinesias,Neurologic Manifestations,3
Ataxia,C,C10.597.350.090,Dyskinesias,Neurologic Manifestations,3
"ATP Binding Cassette Transporter, Subfamily B, Member 11",D,D12.776.157.530.450.074.500.500.250.438,"ATP Binding Cassette Transporter, Subfamily B","Organic Anion Transporters, ATP-Dependent",3
"ATP Binding Cassette Transporter, Subfamily B, Member 11",D,D12.776.157.530.100.075.125,"ATP Binding Cassette Transporter, Subfamily B",ATP-Binding Cassette Transporters,3
"ATP Binding Cassette Transporter, Subfamily B, Member 11",D,D12.776.395.550.020.400.534,"ATP Binding Cassette Transporter, Subfamily B",ATP-Binding Cassette Transporters,3
"ATP Binding Cassette Transporter, Subfamily B, Member 11",D,D12.776.543.550.192.400.534,"ATP Binding Cassette Transporter, Subfamily B",ATP-Binding Cassette Transporters,3
"ATP Binding Cassette Transporter, Subfamily B, Member 11",D,D12.776.543.585.100.200.438,"ATP Binding Cassette Transporter, Subfamily B",ATP-Binding Cassette Transporters,3
"ATP Binding Cassette Transporter, Subfamily B, Member 11",D,D12.776.543.585.450.074.500.500.250.438,"ATP Binding Cassette Transporter, Subfamily B","Organic Anion Transporters, ATP-Dependent",3
Atrial Flutter,C,C14.280.067.248,"Arrhythmias, Cardiac",Heart Diseases,3
Atrial Flutter,C,C23.550.073.248,"Arrhythmias, Cardiac",Pathologic Processes,3
Attention Deficit and Disruptive Behavior Disorders,F,F03.625.094,Neurodevelopmental Disorders,Mental Disorders,3
Audiology,H,H02.010.150,Allied Health Occupations,Health Occupations,3
Auditory Threshold,F,F02.463.593.710.190,Sensory Thresholds,Perception,3
Auditory Threshold,F,F02.463.593.071.173,Auditory Perception,Perception,3
Auditory Threshold,G,G07.888.125.173,Auditory Perception,Vestibulocochlear Physiological Phenomena,3
Aurora Kinases,D,D12.776.167.049,Cell Cycle Proteins,Proteins,3
